transaction_id,customer_id,merchant_id,amount,currency,payment_method,payment_gateway,card_type,transaction_timestamp,customer_payment_success_rate,customer_previous_transactions,customer_previous_failures,days_since_last_successful_payment,device_type,device_id,ip_risk_score,customer_location,merchant_category,merchant_risk_score,avs_result,cvv_result,authentication_result,bank_response_code,gateway_response_code,payment_status,failure_code,failure_reason,is_retryable,recovery_probability_target,recovered
tx_00000102,cust_000131,merch_0017,94.31,EUR,DEBIT_CARD,RAZORPAY,VISA,2026-06-16 01:56:31,0.7868,10,2,8.5,MOBILE_ANDROID,dev_366220,12.87,"Mumbai, IN",ECOMMERCE,19.17,MATCH,MATCH,SUCCESS,00_SUCCESS,GATEWAY_200_OK,SUCCESS,NONE,Transaction completed successfully.,False,,
tx_00000408,cust_000004,merch_0003,1412.52,INR,UPI,CASHFREE,NA,2026-07-17 20:20:09,0.9706,12,1,14.5,MOBILE_ANDROID,dev_667610,29.96,"Delhi, IN",ECOMMERCE,7.73,MATCH,NOT_CHECKED,ATTEMPTED,54_EXPIRED_CARD,GATEWAY_400_BAD_REQUEST,FAILED,EXPIRED_CARD,Card expiry date has passed.,False,0.1612,1.0
tx_00000030,cust_000051,merch_0034,328.79,USD,CREDIT_CARD,RAZORPAY,VISA,2026-08-15 17:08:36,0.6562,9,4,11.3,MOBILE_IOS,dev_462114,5.91,"Bengaluru, IN",ECOMMERCE,6.61,PARTIAL_MATCH,MATCH,ATTEMPTED,05_DO_NOT_HONOR,GATEWAY_400_DECLINED,FAILED,BANK_DECLINED,Issuing bank declined transaction without specific reason.,False,0.119,0.0
tx_00000503,cust_000230,merch_0045,2945.18,INR,CREDIT_CARD,ICICI_PG,VISA,2026-06-30 23:33:34,0.8924,11,2,42.0,MOBILE_ANDROID,dev_347368,5.75,"Chennai, IN",ECOMMERCE,12.35,MATCH,MATCH,SUCCESS,91_TIMEOUT,GATEWAY_504_TIMEOUT,FAILED,TEMPORARY_GATEWAY_FAILURE,Transient gateway downtime or rate limit.,True,0.7766,1.0
tx_00000896,cust_000254,merch_0025,333.11,INR,DEBIT_CARD,HDFC_PG,VISA,2026-08-04 04:05:46,0.8886,13,5,6.6,MOBILE_IOS,dev_984956,7.75,"Mumbai, IN",SAAS,5.2,MATCH,MATCH,SUCCESS,00_SUCCESS,GATEWAY_200_OK,SUCCESS,NONE,Transaction completed successfully.,False,,
tx_00000319,cust_000143,merch_0049,225.15,INR,UPI,RAZORPAY,NA,2026-06-26 20:22:17,0.7881,11,0,67.9,MOBILE_IOS,dev_842068,15.33,"Delhi, IN",ECOMMERCE,10.89,MATCH,NOT_CHECKED,SUCCESS,00_SUCCESS,GATEWAY_200_OK,SUCCESS,NONE,Transaction completed successfully.,False,,
tx_00000179,cust_000172,merch_0047,600.74,INR,CREDIT_CARD,RAZORPAY,VISA,2026-07-16 04:00:25,0.8072,10,1,18.6,MOBILE_ANDROID,dev_728126,25.51,"London, UK",EDTECH,29.15,MATCH,MATCH,SUCCESS,00_SUCCESS,GATEWAY_200_OK,SUCCESS,NONE,Transaction completed successfully.,False,,
tx_00000375,cust_000069,merch_0041,213.78,EUR,UPI,RAZORPAY,NA,2026-06-04 12:11:43,0.7559,18,2,7.8,MOBILE_IOS,dev_416695,11.81,"Mumbai, IN",ECOMMERCE,18.09,MATCH,NOT_CHECKED,SUCCESS,00_SUCCESS,GATEWAY_200_OK,SUCCESS,NONE,Transaction completed successfully.,False,,
tx_00000520,cust_000070,merch_0004,325.96,INR,UPI,RAZORPAY,NA,2026-06-25 17:29:18,0.8391,9,0,24.3,MOBILE_ANDROID,dev_628044,4.92,"New York, US",SAAS,4.19,MATCH,NOT_CHECKED,SUCCESS,00_SUCCESS,GATEWAY_200_OK,SUCCESS,NONE,Transaction completed successfully.,False,,
tx_00000465,cust_000217,merch_0025,750.88,EUR,NET_BANKING,RAZORPAY,NA,2026-08-06 04:21:47,0.53,5,3,18.1,MOBILE_ANDROID,dev_315754,5.35,"Hyderabad, IN",SAAS,23.77,MATCH,NOT_CHECKED,SUCCESS,00_SUCCESS,GATEWAY_200_OK,SUCCESS,NONE,Transaction completed successfully.,False,,
tx_00000623,cust_000085,merch_0015,1659.06,INR,CREDIT_CARD,RAZORPAY,MASTERCARD,2026-06-21 15:52:52,0.9479,6,0,7.9,DESKTOP_MAC,dev_776446,4.39,"Mumbai, IN",EDTECH,7.06,MATCH,MATCH,SUCCESS,00_SUCCESS,GATEWAY_200_OK,SUCCESS,NONE,Transaction completed successfully.,False,,
tx_00000902,cust_000118,merch_0043,99.45,INR,DEBIT_CARD,HDFC_PG,VISA,2026-07-09 07:26:41,0.7392,14,1,18.8,MOBILE_ANDROID,dev_326556,5.12,"Bengaluru, IN",EDTECH,6.67,MATCH,MATCH,SUCCESS,00_SUCCESS,GATEWAY_200_OK,SUCCESS,NONE,Transaction completed successfully.,False,,
tx_00000440,cust_000075,merch_0050,372.86,INR,UPI,RAZORPAY,NA,2026-08-21 08:50:01,0.8226,13,3,0.9,DESKTOP_WINDOWS,dev_917483,1.89,"Delhi, IN",FINANCIAL_SERVICES,19.02,MATCH,NOT_CHECKED,SUCCESS,00_SUCCESS,GATEWAY_200_OK,SUCCESS,NONE,Transaction completed successfully.,False,,
tx_00000292,cust_000018,merch_0015,192.39,USD,DEBIT_CARD,RAZORPAY,MASTERCARD,2026-06-20 15:32:00,0.8256,12,2,1.7,MOBILE_ANDROID,dev_274068,0.75,"Mumbai, IN",ECOMMERCE,13.37,MATCH,MATCH,SUCCESS,00_SUCCESS,GATEWAY_200_OK,SUCCESS,NONE,Transaction completed successfully.,False,,
tx_00000243,cust_000169,merch_0015,711.87,INR,UPI,RAZORPAY,NA,2026-08-02 07:01:32,0.9262,8,0,17.7,MOBILE_IOS,dev_364186,7.11,"Mumbai, IN",GAMING,3.06,MATCH,NOT_CHECKED,SUCCESS,00_SUCCESS,GATEWAY_200_OK,SUCCESS,NONE,Transaction completed successfully.,False,,
tx_00000950,cust_000257,merch_0014,949.43,INR,NET_BANKING,RAZORPAY,NA,2026-05-29 22:51:23,0.6258,14,6,29.9,MOBILE_ANDROID,dev_533951,2.23,"Bengaluru, IN",GAMING,40.37,MATCH,NOT_CHECKED,SUCCESS,00_SUCCESS,GATEWAY_200_OK,SUCCESS,NONE,Transaction completed successfully.,False,,
tx_00000044,cust_000264,merch_0047,578.1,INR,UPI,RAZORPAY,NA,2026-06-22 06:05:06,0.7868,11,3,0.4,MOBILE_IOS,dev_852746,3.5,"Chennai, IN",ECOMMERCE,10.01,MATCH,NOT_CHECKED,SUCCESS,96_SYSTEM_ERROR,GATEWAY_500_INTERNAL_ERROR,FAILED,NETWORK_ERROR,"Network timeout between merchant, gateway, and bank.",True,0.6973,1.0
tx_00000257,cust_000230,merch_0022,936.81,INR,CREDIT_CARD,ICICI_PG,VISA,2026-06-14 18:57:36,0.8759,16,4,4.6,MOBILE_IOS,dev_923597,25.18,"Bengaluru, IN",ECOMMERCE,4.19,MATCH,MATCH,SUCCESS,00_SUCCESS,GATEWAY_200_OK,SUCCESS,NONE,Transaction completed successfully.,False,,
tx_00000722,cust_000008,merch_0016,79.27,INR,CREDIT_CARD,HDFC_PG,VISA,2026-08-16 22:58:58,0.7904,7,2,24.9,MOBILE_ANDROID,dev_436318,17.91,"Bengaluru, IN",ECOMMERCE,11.63,MATCH,MATCH,SUCCESS,00_SUCCESS,GATEWAY_200_OK,SUCCESS,NONE,Transaction completed successfully.,False,,
tx_00000491,cust_000122,merch_0002,21376.42,INR,UPI,CASHFREE,NA,2026-06-30 22:34:19,0.8978,6,0,44.1,MOBILE_IOS,dev_816683,6.29,"Bengaluru, IN",UTILITIES,11.81,MATCH,NOT_CHECKED,SUCCESS,00_SUCCESS,GATEWAY_200_OK,SUCCESS,NONE,Transaction completed successfully.,False,,
tx_00000471,cust_000076,merch_0005,2456.12,INR,UPI,HDFC_PG,NA,2026-07-10 16:22:16,0.815,13,2,17.7,MOBILE_ANDROID,dev_722986,10.9,"London, UK",SAAS,4.39,PARTIAL_MATCH,NOT_CHECKED,SUCCESS,00_SUCCESS,GATEWAY_200_OK,SUCCESS,NONE,Transaction completed successfully.,False,,
tx_00000592,cust_000010,merch_0038,194.71,INR,DEBIT_CARD,RAZORPAY,VISA,2026-07-04 12:28:53,0.8371,10,1,6.4,DESKTOP_MAC,dev_411466,14.49,"Chennai, IN",ECOMMERCE,35.7,MATCH,MATCH,SUCCESS,00_SUCCESS,GATEWAY_200_OK,SUCCESS,NONE,Transaction completed successfully.,False,,
tx_00000377,cust_000247,merch_0003,709.0,INR,CREDIT_CARD,RAZORPAY,MASTERCARD,2026-07-30 19:16:07,0.8122,15,0,8.7,MOBILE_IOS,dev_177952,1.3,"Delhi, IN",SAAS,12.53,MATCH,MATCH,SUCCESS,00_SUCCESS,GATEWAY_200_OK,SUCCESS,NONE,Transaction completed successfully.,False,,
tx_00000256,cust_000038,merch_0021,7355.62,INR,DEBIT_CARD,RAZORPAY,VISA,2026-08-13 22:15:07,0.9103,19,3,3.9,MOBILE_IOS,dev_675606,7.95,"Bengaluru, IN",ECOMMERCE,11.9,MATCH,MATCH,SUCCESS,96_SYSTEM_ERROR,GATEWAY_500_INTERNAL_ERROR,FAILED,NETWORK_ERROR,"Network timeout between merchant, gateway, and bank.",True,0.5835,1.0
tx_00000733,cust_000216,merch_0012,840.41,INR,UPI,CASHFREE,NA,2026-07-02 00:14:36,0.7921,9,1,21.7,MOBILE_ANDROID,dev_905897,22.8,"Delhi, IN",ECOMMERCE,2.41,MATCH,NOT_CHECKED,SUCCESS,00_SUCCESS,GATEWAY_200_OK,SUCCESS,NONE,Transaction completed successfully.,False,,
tx_00000839,cust_000265,merch_0010,453.8,INR,UPI,RAZORPAY,NA,2026-06-21 13:56:48,0.9144,11,0,17.3,MOBILE_ANDROID,dev_227615,24.47,"Hyderabad, IN",SAAS,11.67,MATCH,NOT_CHECKED,SUCCESS,00_SUCCESS,GATEWAY_200_OK,SUCCESS,NONE,Transaction completed successfully.,False,,
tx_00000096,cust_000099,merch_0034,658.5,INR,CREDIT_CARD,RAZORPAY,MASTERCARD,2026-08-17 19:03:26,0.9281,10,1,14.1,MOBILE_ANDROID,dev_499716,6.43,"Bengaluru, IN",UTILITIES,2.66,MATCH,MATCH,SUCCESS,91_TIMEOUT,GATEWAY_504_TIMEOUT,FAILED,TEMPORARY_GATEWAY_FAILURE,Transient gateway downtime or rate limit.,True,0.8048,0.0
tx_00000258,cust_000051,merch_0007,786.81,INR,UPI,RAZORPAY,NA,2026-06-24 21:12:13,0.4964,12,6,32.0,DESKTOP_MAC,dev_623548,11.44,"Mumbai, IN",ECOMMERCE,10.74,MATCH,NOT_CHECKED,SUCCESS,00_SUCCESS,GATEWAY_200_OK,SUCCESS,NONE,Transaction completed successfully.,False,,
tx_00000090,cust_000268,merch_0020,306.86,INR,CREDIT_CARD,HDFC_PG,VISA,2026-06-06 21:07:11,0.785,10,2,41.7,MOBILE_ANDROID,dev_219271,4.36,"Mumbai, IN",EDTECH,6.5,MATCH,MATCH,SUCCESS,91_TIMEOUT,GATEWAY_504_TIMEOUT,FAILED,TEMPORARY_GATEWAY_FAILURE,Transient gateway downtime or rate limit.,True,0.7129,0.0
tx_00000740,cust_000238,merch_0046,1058.62,INR,UPI,RAZORPAY,NA,2026-08-09 01:56:20,0.6855,13,4,13.9,MOBILE_ANDROID,dev_884487,4.58,"Delhi, IN",EDTECH,10.62,MATCH,NOT_CHECKED,SUCCESS,00_SUCCESS,GATEWAY_200_OK,SUCCESS,NONE,Transaction completed successfully.,False,,
tx_00000330,cust_000058,merch_0005,7110.13,INR,UPI,HDFC_PG,NA,2026-08-10 09:23:31,0.7267,12,2,4.8,MOBILE_ANDROID,dev_935018,7.09,"Chennai, IN",ECOMMERCE,5.16,MATCH,NOT_CHECKED,SUCCESS,00_SUCCESS,GATEWAY_200_OK,SUCCESS,NONE,Transaction completed successfully.,False,,
tx_00000793,cust_000031,merch_0018,1466.66,INR,DEBIT_CARD,RAZORPAY,MASTERCARD,2026-06-22 19:32:40,0.9071,13,2,5.1,MOBILE_IOS,dev_373060,9.22,"Mumbai, IN",ECOMMERCE,21.42,MATCH,MATCH,SUCCESS,00_SUCCESS,GATEWAY_200_OK,SUCCESS,NONE,Transaction completed successfully.,False,,
